date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:53	159/159	---MCZ	200	added ('OK')	text/plain	date:Wed,%2006%20Nov%202024%2022:11:04%20GMT	https://www.wuxiaworld.com/robots.txt		(from )
12:21:09	263241/263241	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2005:20:51%20GMT	https://www.wuxiaworld.com/	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/index.html	(from )
12:21:09	706/706	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Nov%202024%2021:45:39%20GMT	https://www.wuxiaworld.com/favicon.png	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/favicon.png	(from https://www.wuxiaworld.com/)
12:21:10	628/628	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Nov%202024%2002:07:36%20GMT	https://www.wuxiaworld.com/favicon-32x32.png	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/favicon-32x32.png	(from https://www.wuxiaworld.com/)
12:21:10	330/330	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Nov%202024%2019:11:48%20GMT	https://www.wuxiaworld.com/favicon-16x16.png	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/favicon-16x16.png	(from https://www.wuxiaworld.com/)
12:21:11	12011/12011	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2008%20Nov%202024%2018:57:18%20GMT	https://www.wuxiaworld.com/favicon.svg	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/favicon.svg	(from https://www.wuxiaworld.com/)
12:21:12	54041/54041	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2005:21:09%20GMT	https://www.wuxiaworld.com/logo192.png	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/logo192.html	(from https://www.wuxiaworld.com/)
12:21:12	1485/1485	---MCZ	200	added ('OK')	application/json	date:Wed,%2006%20Nov%202024%2021:37:59%20GMT	https://www.wuxiaworld.com/manifest.json	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/manifest.json	(from https://www.wuxiaworld.com/)
12:21:13	3383/3383	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202024%2021:35:20%20GMT	https://www.wuxiaworld.com/apple-touch-icon.png	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/apple-touch-icon.png	(from https://www.wuxiaworld.com/)
12:21:13	3277/3277	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Nov%202024%2018:29:01%20GMT	https://www.wuxiaworld.com/safari-pinned-tab.svg	d:/My%20Web%20Sites/https___www.wuxiaworld.com/www.wuxiaworld.com/safari-pinned-tab.svg	(from https://www.wuxiaworld.com/)
